San Jose State,Tulsa,70,+5,09/03/2016,2016-09-03 12:12:18.521334
Southern Miss,Kentucky,63.5,+3.5,09/03/2016,2016-09-03 12:12:18.521334
Massachusetts,Florida,50.5,+36.5,09/03/2016,2016-09-03 12:12:18.521334
Louisiana Tech,Arkansas,52.5,+24,09/03/2016,2016-09-03 12:18:17.428212
Miami Ohio,Iowa,51,+27.5,09/03/2016,2016-09-03 12:24:14.685659
Louisiana Tech,Arkansas,52.5,+23.5,09/03/2016,2016-09-03 12:24:14.685659
UCLA,Texas A&M,53.5,+3.5,09/03/2016,2016-09-03 12:36:19.776847
Massachusetts,Florida,50.5,+35.5,09/03/2016,2016-09-03 12:42:08.014094
Clemson,Auburn,62.5,-9,09/03/2016,2016-09-03 12:42:08.014094
Rutgers,Washington,55.5,+25,09/03/2016,2016-09-03 12:48:15.688928
SMU,North Texas,66.5,-9,09/03/2016,2016-09-03 13:18:20.097023
Texas State,Ohio,59.5,+19,09/03/2016,2016-09-03 13:24:19.116505
North Carolina,Georgia,59,+3.5,09/03/2016,2016-09-03 13:42:07.874372
Clemson,Auburn,63.5,-9,09/03/2016,2016-09-03 13:54:10.804537
Southern Miss,Kentucky,63,+3.5,09/03/2016,2016-09-03 14:06:16.508701
Kent State,Penn State,45,+23.5,09/03/2016,2016-09-03 14:18:06.016264
UCLA,Texas A&M,54,+3.5,09/03/2016,2016-09-03 14:18:06.016264
Louisiana Tech,Arkansas,52.5,+23,09/03/2016,2016-09-03 14:18:06.016264
LSU,Wisconsin,44.5,-13,09/03/2016,2016-09-03 14:24:23.195082
Louisiana Tech,Arkansas,53,+22,09/03/2016,2016-09-03 14:24:23.195082
Clemson,Auburn,63.5,-8.5,09/03/2016,2016-09-03 14:24:23.195082
BYU,Arizona,61.5,-1.5,09/03/2016,2016-09-03 14:24:23.195082
Miami Ohio,Iowa,51.5,+27.5,09/03/2016,2016-09-03 14:30:20.673386
Kent State,Penn State,44,+23.5,09/03/2016,2016-09-03 14:30:20.673386
Texas State,Ohio,60.5,+18,09/03/2016,2016-09-03 14:30:20.673386
Clemson,Auburn,63,-8.5,09/03/2016,2016-09-03 14:30:20.673386
